PART_NUMBER,REGIMEN,TypeMaterial,DESCRIPTION_EN,DESCRIPCION_ES,UMC,UMT,HTSMX,HTSMXBASE,HTSMXNICO,IGI_DUTY,PROSEC,R8,DESCRIPCION_R8,RRYNA_NON_DUTY_REQUIREMENTS,REMARKS,NETWEIGHT,IMPORTED_OR_NOT,SENSIBLE,HTS_SerialNo,CLAVESAT,DESCRIPCION_CN,MATERIAL_CN,MATERIAL_EN,FUNCTION_CN,FUNCTION_EN,COMPANY
940010-08425,A1,Equipo,relocation mechanism,PARTE PARA ROBOT SOLDADOR,PZA,PZA,8468900100,84689001,0,0,,,,NO RRNA,0,1,Y,N,0,23271700,,,,,,
5SYV-290100-8001,IN,KD,FRONT DRIVE SHAFT,CARDAN DE USO AUTOMOTRIZ,PZA,PZA,8708509904,87085099,4,5,3 unicamente: Fundas para ejes traseros; flechas semiejes acoplables al mecanismo diferencial incluso las de velocidad constante (homocineticas) y sus partes componentes; juntas universales tipo cardan para cruceta; ejes cardanicos.,1931R825038867,CARDAN DE USO AUTOMOTRIZ 8708509904,,,10.249,Y,N,CF SALE MXHTS2025040016,25174800,,,,,,
5HY0-031331-0MP0M,IN,0,RETRACTOR MOUNTING PLATE II,PLACA DE MONTAJE DEL RETRACTOR DOS,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.06,Y,N,0,25181604,,,,,,
5HYV-002004-6000,IN,0,CVT AIR OUTLET PIPE,TUBO PREFORMADO,PZA,PZA,8708999999,87089999,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.307,Y,N,0,25191700,,,,,,
5ASV-041041-6000-0BM00,IN,0,FRONT PANEL,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,1.62,Y,N,0,25181604,,,,,,
5BWV-002102-5000,IN,0,JOINT CVT AIR INLET PIPE,ARTICULOS DE CAUCHO DE USO TECNICO,PZA,KG,4016990100,40169901,0,5,Ex. ,,,NO RRNA,0,0.15,Y,N,0,13101600,,,,,,
5BYV-031500-6001-H1M,IN,0,Top bar support connecting tube assembly,MARCO INTERIOR DEL VEHICULO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.687,Y,N,0,25181604,,,,,,
5ASV-000105-6000,IN,0,CLAMP,ABRAZADERA DE ACERO,PZA,PZA,7326909903,73269099,3,35,,1931R825050550,ABRAZADERA DE ACERO CLIP DE FIJACION 7326909903,,,0.006,Y,N,0,31162906,,,,,,
5SYV-355420-8301,IN,KD,PRESSURE PIPE ASSY 2,TUBERIA PREFORMADA,PZA,PZA,8708999999,87089999,99,0,,,,0,0,0.605,Y,N,CF SALE MXHTS2025100005,25174800,,,,,,
5HYV-372003-9000,IN,KD,Left Front Door Window Regulator Assembly,MECANISMO ELEVADOR DE VENTANAS,PZA,PZA,8302309100,83023091,0,15,Ex. ,,,,,1.234,Y,N,CF SALE MXHTS2025060032,25174800,,,,,,
5HY1-030200-860-001-Z,A1,HerramietasDeTrabajo,Inspection Tool for Seat Cushion Mounting Bracket,CALIBRE DE CONTROL,PZA,PZA,9031809999,90318099,99,0,,,,,,198,Y,N,CF SALE MXHTS2025050032,25174800,,,,,,
5HY0-031426-0MP0M,IN,0,CONNECTING PIPE BEFORE BOTTOM BEAM,TUBERIA DE CONEXION ANTES DE LA VIGA INFERIOR,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.48,Y,N,0,25181604,,,,,,
5HYV-190203-1H00-11,IN,0,CFMOTO DECAL,CALCOMANIAS DECORATIVAS PARA CARROCERIA,PZA,KG,4908909901,49089099,1,35,0,1931R825050569,ETIQUETA AUTOADHESIVA  CALCOMANIAS DE PLASTICO  CALCOMANIA PARA PUERTA  CALCOMANIAS DECORATIVAS PARA VEHICULOS  ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO   ETIQUETAS ADHESIVAS  DE PLASTICO  ETIQUETA DE DESCRIPCION DE CAPACIDAD DE REMOLQUE  ETIQUETA DE MANIJA  ETIQUETA PLASTICA  CALCOMANIAS DECORATIVAS PARA CARROCERIA  ETIQUETAS ADHESIVAS  DE PLASTICO 4908909901,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.003,Y,N,0,55121600,,,,,,
940010-09456,A1,Equipo,Steel Shovel,HERRAMIENTA DE MANO (PALA DE ACERO),PZA,PZA,8205599999,82055999,99,15,Ex. Excepto: Paletas (cucharas,,,NOM-050-SCFI-2004,,0.4,Y,N,CF SALE MXHTS2025110007,,steel shovel,Stainless Steel,Stainless steel,e 3 4a c a a sa a,Equipment maintenance and servicing,four wheeler
9030-150002,IN,0,RH FOAM MAT BATTERY,HOJA PLASTICA,PZA,KG,3921199101,39211991,1,0,,,,NO RRNA,0,0.24,Y,N,0,30265802,,,,,,
5HYV-042012-6000,IN,0,REAR RH FENDER,GUARDABARROS,PZA,PZA,8708290100,87082901,0,0,,,,NO RRNA,0,0.519,Y,N,0,25181604,,,,,,
JXMF-MX-0223,A1,HerramietasDeTrabajo,5-inch grinding disc 80 mesh,DISCO PARA PULIR,PZA,KG,6805100199,68051001,99,5,Ex. ,,,,,0.5,Y,N,CF SALE MXHTS2025070027,25174800,,,,,,
601401-00836,A1,Equipo,sleeve,UTIL INTERCAMBIABLE,PZA,PZA,8207909900,82079099,0,35,Ex. ,,,,CONFIRM THAT THE BRAND IS NOT VISIBLE,0.05,Y,N,CF SALE MXHTS2025020017,31171502,,,,,,
B20251147,A1,Equipo,Thread tap,MACHUELOS,PZA,PZA,8207400401,82074004,1,0,,,,NOM-050-SCFI-2004/unicamente: Machuelos con diametro igual o inferior a 50.8 mm y/o dados cuadrados ,,0.3,Y,N,CF SALE MXHTS2025110029,,Silk tapping,iron,iron,cutting tools,Cutting tools,four wheeler
5HY0-104200-20000,IN,0,RH STEERING ROD ASSY,BARRA DE DIRECCION DERECHA,PZA,KG,8708941206,87089412,6,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,1.5,Y,N,0,39122109,,,,,,
5ASV-031580-6000-H1M,IN,0,Triangle area left reinforcement seat,MARCO INTERIOR DEL VEHICULO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.025,Y,N,0,25181604,,,,,,
5SYV-380101-8100-13,IN,KD,OWNERS MANUAL,MANUAL DE USUARIO,PZA,KG,4901999100,49019991,0,0,,,,,,0.25,Y,N,0,25174800,,,,,,
940010-08656,A1,Equipo,Light duty vertical multistage centrifugal pump,BOMBA,PZA,PZA,8413709999,84137099,99,15,Ex. Excepto: Sumergibles con tuberia de descarga de diametro interior superior o igual a 63 mm pero inferior o igual a 610 mm; Bombas de tipo centrifugo para manejo de petroleo y sus derivados.,,,NOM-004-ENER-2014,Can be imported,30,Y,N,0,40151532,,,,,,
5SYV-031902-6000-H1M,IN,0,MIDDLE LONGITUDINAL BEAM,LARGUEROS INTERMEDIOS,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,1.35,Y,N,0,25181604,,,,,,
5SYV-134100-8001-23-H1,IN,KD,Right Plate,PARTE PARA ASIENTO,PZA,PZA,9401200100,94012001,1,0,,,,,,1,Y,N,CF SALE MXHTS2025050082,25174800,,,,,,
5HY0-041041-0ET00,IN,0,FRONT LH TOP COVER,PANEL FRONTAL IZQUIERDO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.76,Y,N,0,25181604,,,,,,
Q820-333006,IN,KD,Shaft of planetary gear,PARTE DEL EJE,PZA,PZA,8708409999,87084099,99,5,3,1931R825050355,PARTE PARA TRANSMISION  SOPORTE DE TRASMISION PARA AJUSTE DE CHICOTE  MONTAJE PARA CAJA DE CAMBIOS  EJE IMPULSOR TRASERO  PALANCA DE VELOCIDADES  BALANCIN DE SELECTOR DE CAMBIOS  CAJA DE ENGRANES 8708409999,NOM-050-SCFI-2004,,0.11,Y,N,CF SALE MXHTS2025050009,25174800,,,,,,
0JWF-C1A100-0800,IN,0,Engine,MOTOR,PZA,PZA,8407330400,84073304,0,0,,,,NO RRNA,0,53.6,Y,N,0,25191700,,,,,,
5ASV-150210-5000,IN,KD,BATTERY POSITIVE WIRE,CABLE CON CONECTOR POSITIVO,PZA,PZA,8544429904,85444299,4,5,Ex. ,,,,,0.081,Y,N,CF SALE MXHTS2025050007,26121800,,,,,,
6AQV-150100-3700,A1,KD,MAIN CABLE,CABLES PRINCIPALES,PZA,PZA,8544499904,85444999,4,5,Ex. Excepto: Arneses electricos para conduccion o distribucion de corriente electrica en aparatos electrodomesticos o de medicion.,,,NOM-063-SCFI-2001,,1.519,Y,N,CF SALE MXHTS2025050153,26121800,,,,,,
5BWV-000200-5001,IN,0,ENGINE FRONT SUSPENSION ASSY,SOPORTE DELANTERO DEL MOTOR,PZA,PZA,8708999999,87089999,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.717,Y,N,0,25181604,,,,,,
Q870-330004,IN,KD,Axis pin,PASADOR,PZA,PZA,7318299999,73182999,99,35,,1931R825034288,ANILLO DE SEGURIDAD 7318299999 CIRCLIP 7318299999 PERNO SIN ROSCA 7318299999,NOM-050-SCFI-2004,,0.006,Y,N,CF SALE MXHTS2025050009,25174800,,,,,,
5HYV-020002-6000,IN,0,SEAL GASKET,EMPAQUE,PZA,PZA,7326199908,73261999,8,0,,,,NO RRNA,0,0.006,Y,N,0,25191700,,,,,,
601601-00961,A1,Equipo,Twist Drill Bit 14,BROCA,PZA,PZA,8207500703,82075007,3,35,,,,,,0.05,Y,N,0,25174800,,,,,,
5ASV-190015-6000,IN,0,LH FRONT REFLECTIVE FILM,ETIQUETA AUTOADHESIVA,PZA,KG,3919909900,39199099,0,35,,1931R825051346,ETIQUETA AUTOADHESIVA 3919909900 REFLEJANTE AUTOADHESIVO 3919909900 CALCOMANIA 3919909900,NO RRNA,0,0.001,Y,N,0,55121606,,,,,,
5HY0-031020-0MP0M,IN,0,CONNECTING SEAT ON BUMPER,ASIENTO DE FIJACION SUPERIOR DEL PARACHOQUES,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.07,Y,N,0,25172100,,,,,,
5HY0-021200-30001,IN,0,REAR ELBOW PIPE ASSY,TUBO DE ESCAPE,PZA,PZA,8708920399,87089203,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,3.1,Y,N,0,25181604,,,,,,
5HY#-041051-1010,IN,0,FRONT LH DECO PLATE,GUARNICION PARA CARROCERIA DE PLASTICO,PZA,KG,3926300299,39263002,99,15,Ex. ,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.84,Y,N,0,25181600,,,,,,
940010-08554,A1,Equipo,Mechanical Seal for Water Pump,RETEN,PZA,PZA,8487909900,84879099,0,5,Ex. ,,,NO RRNA,0,0.8,Y,N,0,25174800,,,,,,
JXMF-MX-0190,A1,Equipo,Heating coil 120-100,DISPOSITIVO DE CALENTAMIENTO,PZA,PZA,8516800499,85168004,99,0,,,,NOM-024-SCFI-2013,,0.5,Y,N,CF SALE MXHTS2025060034,25174800,,,,,,
30204-102810,IN,0,NUT M10x1.25,TUERCA,PZA,KG,7318160603,73181606,3,35,,1931R825050547,TUERCA 7318160603,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.001,Y,N,0,13101600,,,,,,
5HYV-237070-6000-H1M,IN,KD,Middle-Upper Mounting Plate Assembly of Seat Belt,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,,,0.171,Y,N,CF SALE MXHTS2025050073,25181604,,,,,,
5HYV-223021B,IN,KD,LH NERF BAR CARGO BOX ASSY,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,,2.16,Y,N,0,25181604,,,,,,
5HY1-001001-18-Z,A1,HerramietasDeTrabajo,Rear plastic cargo compartment pick-up fixture,DISPOSITIVO DE SUJECION (FIXTURE),PZA,PZA,8479899999,84798999,99,0,,,,,,10.4,Y,N,CF SALE MXHTS2025040014,25174800,,,,,,
30300-100170,IN,0,WASHER,ARANDELA DE ACERO,PZA,KG,7318229199,73182291,99,35,,1931R825050385,ARANDELA DE ACERO 7318229199,,,0.015,Y,N,0,31161800,,,,,,
940010-08419,A1,Equipo,air cylinder,CILINDRO NEUMATICO,PZA,PZA,8412319900,84123199,0,0,,,,NO RRNA,0,5,Y,N,0,24101600,,,,,,
940010-07880,A1,Equipo,Human Body Static Electricity Eliminator,ELIMINADOR DE ESTATICA CORPORAL,PZA,PZA,8543709999,85437099,99,0,,,,NOM-032-ENER-2013 // NOM-003-SCFI-2014 // NOM-030-ENER-2016 // NOM-001-SCFI-2018 //NOM-024-SCFI-2013,,2.4,Y,N,CF SALE MXHTS2025110007,,Human body static electricity discharge eliminator,plastici1 4 Stainless Steel,Plastic stainless steel,a a e c1 2 i1 4 e a a a1 4,Safety devices to prevent work injuries,four wheeler
30411-03081,IN,0,HUB BEARING,RODAMIENTO DE BOLAS,PZA,PZA,8482109999,84821099,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.431,Y,N,0,31171500,,,,,,
5HYV-374014-9000-0RT00,IN,KD,Right Front Door Trim,MOLDURA PARA PUERTA,PZA,PZA,8708290400,87082904,0,0,,,,,,0.903,Y,N,CF SALE MXHTS2025060030,25172200,,,,,,
5BWV-160310-5000,IN,0,DECO PART DASHBOARD,PIEZA DECORATIVA PARA TABLERO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.036,Y,N,0,25181604,,,,,,
5HYV-190010-4100-13,IN,KD,COMMERCIAL NAME DECAL, ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO,PZA,KG,4908909999,49089099,99,35,0,1931R825050530,"CALCOMANIAS DECORATIVAS PARA CARROCERIA  ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO  ETIQUETA DE PLASTICO  PLACA DE ADVERTENCIA , CALCOMANIA 4908909999",,,0.001,Y,N,CF SALE MXHTS2025050007,55121607,,,,,,
5BYV-190406-1900-12,IN,KD,RH SIDE DOOR REAR UPPER DECAL, ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO,PZA,KG,4908909999,49089099,99,35,0,1931R825050530,"CALCOMANIAS DECORATIVAS PARA CARROCERIA  ETIQUETAS ADHESIVAS IMPRESA DE PLASTICO  ETIQUETA DE PLASTICO  PLACA DE ADVERTENCIA , CALCOMANIA 4908909999",,,0.001,Y,N,CF SALE MXHTS2025050007,55121606,,,,,,
5HYV-223012-6000,IN,0,CARGO BOX LH FENDER,GUARDABARROS,PZA,PZA,8708290100,87082901,0,0,,,,NO RRNA,0,0.608,Y,N,0,39122109,,,,,,
9AWV-160111-8002,IN,0,LH HEADLIGHT,FARO,PZA,PZA,8512209900,85122099,0,5,Ex. ,,,NOM-024-SCFI-2013,Need to label specific NOM-024 shipment mark,0.43,Y,N,0,25172000,,,,,,
5BYV-031040-6000-H1M,IN,0,Left side B-pillar inner reinforcement plate,MARCO INTERIOR DEL VEHICULO,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,0.227,Y,N,0,25181604,,,,,,
5HYV-030600,IN,,,SOPORTE DE CAJA DE ENGRANAJE DELANTERO,,PZA,8708999999,87089999,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0,Y,N,,25171700,,,,,,
5ASV-043041-5000,IN,KD,FRONT FENDER,GUARNICION PARA CARROCERIA DE PLASTICO,PZA,KG,3926300299,39263002,99,15,Ex. ,,,NOM-050-SCFI-2004,,7.71,Y,N,CF SALE MXHTS2025050007,25172600,,,,,,
5SYV-341300-4500,IN,,,CINTURON DE SEGURIDAD,,PZA,8708210100,87082101,0,0,,,,NOM-119-SCFI-2000,,0,Y,N,,25171900,,,,,,
5KWV-020005-1000,IN,0,MUFFLER BODY HEAT INSULATOR PLATE,SILENCIADOR DE ESCAPE,PZA,PZA,8708920399,87089203,99,0,,,,NOM-050-SCFI-2004,Need to label specific NOM-050 shipment mark,0.254,Y,N,0,25181604,,,,,,
9AWV-043021-8000,IN,0,TAIL LIGHT PANEL,PARTE PARA CARROCERIA,PZA,KG,8708299999,87082999,99,35,Ex. ,,,NO RRNA,0,1.192,Y,N,0,25181604,,,,,,
