INVOICE NO,DATE,ITEM,MODEL,PART NO,ENGLISH NAME,SPANISH DESCRIPTION,HTS,PROSEC,RB,QTY,UM,NETWEIGHT,UNIT PRICE,TOTAL AMOUNT,REGIMEN
25CFTT179202-6,"Apr-12th,2026",44,CM1000UZ-8LK,5HYV-131312-6000-H1,Backrest Cross Bar,PARTE PARA ASIENTO,9401999901,,1931R826031342,216,PZA,0.3600,0.3200,69.12,IN
25CFTT179202-6,"Apr-12th,2026",45,CM1000UZ-8LK,5HYV-131315-6000-H1,Seat base Front,PARTE PARA ASIENTO,9401999901,,1931R826031342,216,PZA,0.3600,0.3900,84.24,IN
25CFTT179202-6,"Apr-12th,2026",46,CM1000UZ-8LK,5HYV-131318-6001-H1,Left Support tube,PARTE PARA ASIENTO,9401999901,,1931R826031342,108,PZA,0.3600,1.6700,180.36,IN
25CFTT179202-6,"Apr-12th,2026",47,CM1000UZ-8LK,5HYV-131320-6001-H1,Right Support Tube,PARTE PARA ASIENTO,9401999901,,1931R826031342,108,PZA,0.3600,1.6700,180.36,IN
25CFTT179202-6,"Apr-12th,2026",48,CM1000UZ-8LK,5HYV-131321-6000,5HYV Seatbase Slide Unlock Handle,PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.2300,0.6200,66.96,IN
25CFTT179202-6,"Apr-12th,2026",49,CM1000UZ-8LK,5HYV-132000-6000-20,Passenger Seat Cover,PARTE PARA ASIENTO,9401999901,,1931R826031342,180,PZA,0.5310,2.0200,363.60,IN
25CFTT179202-6,"Apr-12th,2026",50,CM1000UZ-8LK,5HYV-132000-6000-21,Passenger Seat base,PARTE PARA ASIENTO,9401999901,,1931R826031342,180,PZA,1.0000,2.1700,390.60,IN
25CFTT179202-6,"Apr-12th,2026",51,CM1000UZ-8LK,5HYV-133000-4500-21,5HYV Passenger Seatback Top inside Bracket,PARTES PARA AUTO,9401999901,,1931R826031342,432,PZA,0.7200,0.1500,64.80,IN
25CFTT179202-6,"Apr-12th,2026",52,CM1000UZ-8LK,5HYV-133000-6000-20,Passenger Seat Back Cover,PARTE PARA ASIENTO,9401999901,,1931R826031342,210,PZA,0.5310,1.4900,312.90,IN
25CFTT179202-6,"Apr-12th,2026",53,CM1000UZ-8LK,5HYV-133000-6001-21,Passenger Seat Back Plate,PARTE PARA ASIENTO,9401999901,,1931R826031342,200,PZA,0.6530,1.2200,244.00,IN
25CFTT179202-6,"Apr-12th,2026",54,CM1000UZ-8LK,5HYV-134000-4500-22,Sub-Master Screw M6x104,PERNO,7318159999,,1931R825050602,108,PZA,0.0040,0.1900,20.52,IN
25CFTT179202-6,"Apr-12th,2026",55,CM1000UZ-8LK,5HYV-134000-6000-22,Mid-Seat Backtrest plate,PARTE PARA ASIENTO,9401999901,,1931R826031342,80,PZA,1.0000,0.7700,61.60,IN
25CFTT179202-6,"Apr-12th,2026",56,CM1000UZ-8LK,5HYV-134000-6001-40,Plastic washer M8x16x1.0,ARANDELA,3926909999,,1931R826001276,216,PZA,0.0010,0.0200,4.32,IN
25CFTT179202-6,"Apr-12th,2026",57,CM1000UZ-8LK,5HYV-135000-4500-21,"""5HYV Seat Backrest Slide left""",PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.2300,1.9800,213.84,IN
25CFTT179202-6,"Apr-12th,2026",58,CM1000UZ-8LK,5HYV-135000-4500-22,"""5HYV Seat Backrest Slide Right""",PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.2300,1.9800,213.84,IN
25CFTT179202-6,"Apr-12th,2026",59,CM1000UZ-8LK,5HYV-135000-4500-23,M5 Nylon Nut Black Zinc,TUERCA,7318160603,,1931R825050547,216,PZA,0.0010,0.0100,2.16,IN
25CFTT179202-6,"Apr-12th,2026",60,CM1000UZ-8LK,5HYV-135000-4500-24,Washer M8x18x2.0,ARANDELA DE ACERO,7318229199,,1931R825050385,432,PZA,0.0010,0.0100,4.32,IN
25CFTT179202-6,"Apr-12th,2026",61,CM1000UZ-8LK,5HYV-135000-4500-25,M8x35 Column Top Screw 10.9 Level,PERNO,7318159999,,1931R825050602,432,PZA,0.0040,0.0400,17.28,IN
25CFTT179202-6,"Apr-12th,2026",62,CM1000UZ-8LK,5HYV-135000-4500-29,A-shape Clip,CLIP,3926909906,,1931R826001314,864,PZA,0.0010,0.0300,25.92,IN
25CFTT179202-6,"Apr-12th,2026",63,CM1000UZ-8LK,5HYV-155200-5300-M1,SOUND ASSY,ALTAVOCES,8518220299,,1931R825056909,9,PZA,1.5800,84.5500,760.95,IN
25CFTT179202-6,"Apr-12th,2026",64,CM1000UZ-8LK,5HYV-160210-6000,LH TAIL LIGHT ASSY,CALAVERA,8512200200,,1931R826001518,108,PZA,0.4500,18.0200,1946.16,IN
25CFTT179202-6,"Apr-12th,2026",65,CM1000UZ-8LK,5SYV-131120-8000,Support Plate,PARTE PARA ASIENTO,9401999901,,1931R826031342,108,PZA,0.3600,0.9000,97.20,IN
25CFTT179202-6,"Apr-12th,2026",66,CM1000UZ-8LK,5SYV-132100-8000-21-H1,Side Plate,PARTE PARA ASIENTO,9401999901,,1931R826031342,216,PZA,0.3600,0.5800,125.28,IN
25CFTT179202-6,"Apr-12th,2026",67,CM1000UZ-8LK,5SYV-134000-2600-20,5SYA Mid-backrest Elbow Pipe,PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.1720,0.6500,70.20,IN
25CFTT179202-6,"Apr-12th,2026",68,CM1000UZ-8LK,5SYV-134000-2600-21,5SYA Front Middle Seat Back Left L-shape Steel,PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.2300,0.2600,28.08,IN
25CFTT179202-6,"Apr-12th,2026",69,CM1000UZ-8LK,5SYV-134000-2600-22,5SYA Front Middle Seat BackRight L-shape Steel,PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.2300,0.2600,28.08,IN
25CFTT179202-6,"Apr-12th,2026",70,CM1000UZ-8LK,5SYV-134000-2600-23,5SYA Mid-Backrest round steel A,PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.2300,0.5100,55.08,IN
25CFTT179202-6,"Apr-12th,2026",71,CM1000UZ-8LK,5SYV-134000-2600-24,5SYA Mid-Backrest round steel B,PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.2300,0.5300,57.24,IN
25CFTT179202-6,"Apr-12th,2026",72,CM1000UZ-8LK,5SYV-134000-2600-25,5SYA Middle Seat Back Cup Holder Positionning Front,PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.2300,0.1400,15.12,IN
25CFTT179202-6,"Apr-12th,2026",73,CM1000UZ-8LK,5SYV-134000-2600-26,5SYA Middle Seatback Cup Holder Positionning Rear,PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.2300,0.1300,14.04,IN
25CFTT179202-6,"Apr-12th,2026",74,CM1000UZ-8LK,5SYV-134000-2600-27,"""5SYA Mid-backrest Rotating Parts left""",PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.1000,0.0400,4.32,IN
25CFTT179202-6,"Apr-12th,2026",75,CM1000UZ-8LK,5SYV-134000-2600-28,"""5SYA Mid-backrest Rotating Parts right""",PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.1000,0.0400,4.32,IN
25CFTT179202-6,"Apr-12th,2026",76,CM1000UZ-8LK,5SYV-134000-2600-29,Column Top Step Screw M6x115,TORNILLO,7318159904,,1931R825050534,216,PZA,0.0080,0.0500,10.80,IN
25CFTT179202-6,"Apr-12th,2026",77,CM1000UZ-8LK,5SYV-134000-2600-30,Column Top Step Screw M8x13,TORNILLO,7318159905,,1931R825050616,216,PZA,0.0080,0.0600,12.96,IN
25CFTT179202-6,"Apr-12th,2026",78,CM1000UZ-8LK,5SYV-134100-8001-21-H1,left Plate,PARTE PARA ASIENTO,9401999901,,1931R826031342,108,PZA,0.3600,0.4900,52.92,IN
25CFTT179202-6,"Apr-12th,2026",79,CM1000UZ-8LK,5SYV-134100-8001-22-H1,Cross Bar,PARTE PARA ASIENTO,9401999901,,1931R826031342,108,PZA,0.3600,0.2300,24.84,IN
25CFTT179202-6,"Apr-12th,2026",80,CM1000UZ-8LK,5SYV-134100-8001-23-H1,Right Plate,PARTE PARA ASIENTO,9401999901,,1931R826031342,108,PZA,0.3600,0.4900,52.92,IN
25CFTT179202-6,"Apr-12th,2026",81,CM1000UZ-8LK,5SYV-134100-8001-24-H1,lower installation Plate,PARTE PARA ASIENTO,9401999901,,1931R826031342,108,PZA,0.3600,0.5500,59.40,IN
25CFTT179202-6,"Apr-12th,2026",82,CM1000UZ-8LK,5SYV-135000-2600-20,5SYA Passenger Seatback top bracket welded parts,PARTES PARA AUTO,9401999901,,1931R826031342,216,PZA,0.1700,0.1100,23.76,IN
25CFTT179202-6,"Apr-12th,2026",83,CM1000UZ-8LK,5SYV-135000-2600-21,"""5SYA Passenger Seatback bottom bracket sheet metal left""",PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.2300,0.0500,5.40,IN
25CFTT179202-6,"Apr-12th,2026",84,CM1000UZ-8LK,5SYV-135000-2600-22,"""5SYA Passenger Seatback bottom bracket sheet metal right""",PARTES PARA AUTO,9401999901,,1931R826031342,108,PZA,0.2300,0.0500,5.40,IN
25CFTT179202-6,"Apr-12th,2026",85,CM1000UZ-8LK,5SYV-135100-8000-21-H1,Left Support tube,PARTE PARA ASIENTO,9401999901,,1931R826031342,108,PZA,1.0000,0.8600,92.88,IN
25CFTT179202-6,"Apr-12th,2026",86,CM1000UZ-8LK,5SYV-135100-8000-23-H1,Right Side SupportTube,PARTE PARA ASIENTO,9401999901,,1931R826031342,108,PZA,1.0000,0.8600,92.88,IN
25CFTT179202-6,"Apr-12th,2026",87,CM1000UZ-8LK,5SYV-150100-2500,MAIN CABLE,ARNES PARA USO AUTOMOTRIZ,8544309901,Ex. Excepto: Arneses reconocibles como diseñados exclusivamente para uso automotriz.,1931R825057868,48,PZA,26.8500,258.0400,12385.92,IN
